participant session age sex frameRate key_answer_TR.corr key_answer_TR.rt key_answer_WM.corr key_answer_WM.rt key_num_ans_1.corr key_num_ans_2.corr key_num_ans_3.corr key_num_ans_4.corr shapesWM shapesAns shapesTR correct_key_WM conditionTR flicker_time
990 Evening 27 Female 60.0024001 1 0.5007 1 0.4673 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
990 Evening 27 Female 60.0024001 1 1.8685 1 351 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
990 Evening 27 Female 60.0024001 1 0.5008 1 0.4176 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 0.5516 1 0.4512 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 1.0181 1 0.9838 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/black.png 6
990 Evening 27 Female 60.0024001 0 1.8018 1 0.3522 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 0.4677 1 335 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.42 1 0.4016 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.8832 1 1.7682 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 0 0.7201 1 0.6027 0 0 0 0 shapes/circle.png shapes/square.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 1.6347 1 0.5026 0 0 0 0 shapes/square.png shapes/square.png shapes/square.png y shapes/black.png 6
990 Evening 27 Female 60.0024001 1 3.4854 1 0.7685 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 0 2.2181 1 0.6169 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 2.9365 1 818 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
990 Evening 27 Female 60.0024001 0 1.4831 1 0.4675 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/triangle.png 7
990 Evening 27 Female 60.0024001 0 0.6172 1 0.5337 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 0 5.3848 0 0.6665 0 0 0 0 shapes/triangle.png shapes/square.png shapes/circle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 1.3339 1 2.2502 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
990 Evening 27 Female 60.0024001 1 0.5837 1 702 1 1 1 1 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
990 Evening 27 Female 60.0024001 1 4.5846 0 0.5843 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
990 Evening 27 Female 60.0024001 0 584 1 0.5178 0 0 0 0 shapes/circle.png shapes/square.png shapes/triangle.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 1.9526 1 451 0 0 0 0 shapes/triangle.png shapes/square.png shapes/triangle.png n shapes/triangle.png 6
990 Evening 27 Female 60.0024001 1 484 1 0.5003 0 0 0 0 shapes/square.png shapes/triangle.png shapes/square.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 1 0.9007 1 0.5339 1 1 1 1 shapes/square.png shapes/square.png shapes/square.png y shapes/square.png 6
990 Evening 27 Female 60.0024001 0 0.6838 1 0.5839 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 0.6677 0 0.6702 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/circle.png y shapes/circle.png 6
990 Evening 27 Female 60.0024001 1 1.1503 1 0.4326 0 0 0 0 shapes/circle.png shapes/circle.png shapes/circle.png y shapes/circle.png 7
990 Evening 27 Female 60.0024001 1 0.9841 1 0.5012 0 0 0 0 shapes/square.png shapes/circle.png shapes/triangle.png n shapes/triangle.png 7
990 Evening 27 Female 60.0024001 0 854 1 0.4512 0 0 0 0 shapes/triangle.png shapes/circle.png shapes/square.png n shapes/square.png 6
990 Evening 27 Female 60.0024001 1 0.8018 1 0.4014 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/square.png n shapes/black.png 7
990 Evening 27 Female 60.0024001 1 1.1509 1 0.3341 0 0 0 0 shapes/square.png shapes/circle.png shapes/square.png n shapes/square.png 7
990 Evening 27 Female 60.0024001 1 1.4682 1 0.5066 0 0 0 0 shapes/circle.png shapes/circle.png shapes/triangle.png y shapes/triangle.png 6
990 Evening 27 Female 60.0024001 0 0.5845 1 0.4997 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/black.png 6
990 Evening 27 Female 60.0024001 1 517 1 0.6372 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/square.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 0 0.4514 1 0.5341 0 0 0 0 shapes/square.png shapes/square.png shapes/triangle.png y shapes/black.png 7
990 Evening 27 Female 60.0024001 1 1.6835 1 0.4174 0 0 0 0 shapes/circle.png shapes/triangle.png shapes/circle.png n shapes/black.png 6
990 Evening 27 Female 60.0024001 0 0.8675 1 0.3013 0 0 0 0 shapes/triangle.png shapes/triangle.png shapes/triangle.png y shapes/black.png 6
